ჩეთბოტის,მომხმარებლის
"შიდა ოკრიბის ქვერაიონი ხასიათდება ბორცვიანი და დაბალმთიანი რელიეფით. ნაქერალას ქედის სამხრეთ ფერდობებზე ფართოდაა გავრცელებული მეწყერები. ისინი ხშირად გვხვდებიან აგრეთვე მდ. წყალწითელას აუზშიც.🤓~ამ ქვერაიონში მდებარეობენ ოკრიბა-არაგვის სერი და მის სამხრეთით განლაგებული სიმონეთის ვაკე, რომელიც აღმოსავლეთის მიმართულებით თანდათანობით გადადის ზემო იმერეთის პლატოში.😊",შიდა ოკრიბის ქვერაიონ____ოკრიბის ქვერაიონ
"იმერეთის რეგიონის ფართობი 6,5 ათასი კმ-ია, რაც საქართველოს ტერიტორიის 9,2%-ს შეადგენს. ტერიტორიის ნაწილებს წარმოადგენენ:[qr, ოკრიბა, იმერეთის დაბლობი, ზემო იმერეთის პლატო, სამხრეთ იმერეთის მთისწინი]",ზემო იმერეთის პლატო____პლატო ზემო იმერეთ____პლატოზე ზემო იმერეთ
"ზემო იმერეთის პლატო, რომელიც გეოლოგიურ ლიტერატურაში ცნობილია “ძირულას მასივის” სახელწოდებით, ერთმანეთთან აკავშირებს დიდი და მცირე კავკასიონის მთიან სისიტემებს. ზემო იმერეთის პლატო წარმოადგენს კოლხეთის დაბლობის უკიდურეს აღმოსავლეთ ნაწილს.🤓მისი ტერიტორიის მნიშვნელოვან ნაწილს შეადგენს ლიხის ქედის დასავლეთი ფერდობი და მდინარეების ძირულას, ჩხერიმელასა და ყვირილას აუზები.[qr, შემდეგ]",ზემო იმერეთის პლატო____პლატო ზემო იმერეთ____პლატოზე ზემო იმერეთ
"პლატოს ტერიტორიის მნიშვნელოვანი ნაწილი განლაგებულია ზღვის დონიდან 500-1000 მეტრის სიმაღლეთა ფარგლებში. მაქსიმალური სიმაღლეები აღინიშნება ლიხის ქედზე, სადაც ცალკეული მწვერვალების სიმაღლე აღწევს 1200-1500 მეტრს.🤓[qr, ჭიათურის პლატო]",შემდეგ____კიდე____მერე____განაგრძ____გააგრძ
"ზემო იმერეთის პლატო, რომელიც გეოლოგიურ ლიტერატურაში ცნობილია “ძირულას მასივის” სახელწოდებით, ერთმანეთთან აკავშირებს დიდი და მცირე კავკასიონის მთიან სისიტემებს. ზემო იმერეთის პლატო წარმოადგენს კოლხეთის დაბლობის უკიდურეს აღმოსავლეთ ნაწილს.🤓მისი ტერიტორიის მნიშვნელოვან ნაწილს შეადგენს ლიხის ქედის დასავლეთი ფერდობი და მდინარეების ძირულას, ჩხერიმელასა და ყვირილას აუზები.[qr, შემდეგ]",ზემო იმერეთის პლატოზე
"იმერეთის რეგიონის ფართობი 6,5 ათასი კმ-ია, რაც საქართველოს ტერიტორიის 9,2%-ს შეადგენს. ტერიტორიის ნაწილებს წარმოადგენენ:[qr, ოკრიბა, იმერეთის დაბლობი, ზემო იმერეთის პლატო, სამხრეთ იმერეთის მთისწინი]",სამხრეთ იმერეთის მთისწინ____იმერეთის სამხრეთ მთისწინ
"სამხრეთ იმერეთის მთისწინეთი წარმოადგენს გორაკ-ბორცვიან ტერიტორიას, რომელიც განლაგებულია ზემო იმერეთის პლატოსა და აჭარა-გურიის მთისწინეთს შორის.~რელიეფი წარმოდგენილია დაბალი სერების ერთობლიობით, რომელთა აბსოლუტური სიმაღლე მერყეობს 20-1000 მეტრის საზღვრებში. რაიონის მთელ სიგრძეზე განლაგებულია სამხრეთ-იმერეთის სერი, რომელიც წარმოადგენს გურიის მაღლობის გაგრძელებას.[qr, განვაგრძოთ საუბარი]",სამხრეთ იმერეთის მთისწინ____იმერეთის სამხრეთ მთისწინ
"მას კვეთს მთელი რიგი ტერასიანი მდინარეების (ხანის წყალი, სულორი, ყორის წყალი და სხვ.) ხეობები. მდინარეთა ქსელი აქ წარმოდგენილია როგორც შედარებით დიდი მდინარეებით (ხანის წყალი, სულორი, ყუმური და სხვ.),🤓~რომლებიც სათავეს იღებენ აჭარა-იმერეთის ქედის კალთებზე ან მის თხემზე, ასევე წვრილი ნაკადულებით, რომლებიც გამოედინებიან მთისწინა სერების ფერდობებიდან. ნიადაგის საფარი აქ წარმოდგენიალია ყვითელი მიწებით და ტყის ყომრალი ნიადაგებით.😊",განვაგრძ____განაგრძ____გააგრძ____შემდეგ____მერე____კიდე
"პლატოს ტერიტორიის მნიშვნელოვანი ნაწილი განლაგებულია ზღვის დონიდან 500-1000 მეტრის სიმაღლეთა ფარგლებში. მაქსიმალური სიმაღლეები აღინიშნება ლიხის ქედზე, სადაც ცალკეული მწვერვალების სიმაღლე აღწევს 1200-1500 მეტრს.🤓[qr, ჭიათურის პლატო]",ჭიათურის პლატო
"იმერეთის რეგიონის ჩრდილო-დასავლეთი ნაწილი ე.წ. ჭიათურის პლატო მოიცავს რეგიონის ტერიტორიის ჩრდი-ლო-დასავლეთ, დასავლეთ და სამხრეთ-დასავლეთ ნაწილებს. იგი მდ.ყვირილის ხეობით ორ ნაწილად იყოფა.🤓~პლატოს ტერიტორიაზე მანგანუმის მადნის გავრცელების ფართობებზე რელიეფის კარსტული ფორმის სიუხვესთან ერთად ფართოდაა გავრცელებული მეწყერები, რომლებიც დაკავშირებულია მანგანუმის მადნის მოპოვებასთან.~განვაგრძო მოყოლა?",ჭიათურის პლატო
"მდ. ყვირილის მარჯვენა ნაპირზე განლაგებული ტერიტორია დასერილია რაჭის ქედიდან ჩამომავალი რიგი მდინარეებით. ამ რაიონში საკმაოდ უხვადაა კარსტული ძაბრები, მღვიმეები და სხვ. ჭიათურის პლატოს მარცხენა ნაწილი წარმოადგენს ხეობებით დასერილ რელიეფს. აღსანიშნავია აგრეთვე ვულკანური წარმოშობის კონუსის ფორმის ბორცვები. 🤓",კი____დიახ____იეს____ხო____ჰო____რასაკვი____რა საკვირ____აბა____მიდი____ოქეი____ოკი____გისმენ____თავისთ____რათქმა____რა თქმა
"იმერეთი ჩვენი ისტორიული კუთხეა.~ის დასავლეთ საქართველოს აღმოსავლეთ ნაწილში მდებარეობს და გეოგრაფიულად, ცენტრალური ადგილი უკავია ქვეყანაში.~იცი, რამდენია მისი ფართობი?[qr, 6552კვ/კმ, 3555კვ/კმ]",მდებარეობს იმ____იმერეთი სად____ნაწილშია იმერე____იმერეთი დასავლეთია?____იმერეთი რომელი მხარე____მხარეა იმერ____იმერეთის მდებარეობ
"სწორია, იმერეთის ფართობი 6552 კვადრატულ კილომეტს შეადგენს, რაც მთლიანი ქვეყნის 11%-ს შეადგენს ☄",6552კვ/კმ
"არასწორია🌝~იმერეთის ფართობი 6552 კვადრატულ კილომეტრს შეადგენს, რაც ქვეყნის ტერიტორიის 11%-ია.",3555კვ/კმ
"იმერეთში სულ 542 დასახლებული პუნქტია.~აქედან ათია ქალაქი, სამი დაბა და 529 სოფელი.~მოსახლეობა დაახლოებით 700 000 კაცს შეადგენს.",რამდენი დასახლებული პუნქტია იმერ____იმერეთში რამდენი დასახლ____იმერეთის რა ნაწილია დასახ____იმერეთში რამდენი რაიონია____იმერეთში რამდენი პუნქ____იმერეთის რა ნაწილია დასახ
"იმერეთში სულ 10 ქალაქია:~ქუთაისი, ვანი, ტყიბული, წყალტუბო, ჭიათურა, ბაღდათი, ზესტაფონი, თერჯოლა, სამტრედია, საჩხერე და ხონი.~მოგიყვე ადმინისტრაციულ-ტერიტორიულ ერთეულებზე?[qr, დიახ, არა]",ქალაქი?____ქალაქებ
"იმერეთში 12 ადმინისტრაციულ-ტერიტორიული ერთეული გახლავს: ქუთაისი, ბაღდათის მუნიციპალიტეტი, ზესტაფონის, თერჯოლის, სამტრედიის, საჩხერის, ტყიბულის, წყალტუბოს, ჭიათურის, ხარაგაულის, ხონის მუნიციპალიტეტები.",დიახ____კი____აბარა____აბა რა____აუცილებლა____მომიყევი
"ნება შენია და ვერ შეგეწინააღმდეგები.~თუ დაინტერესდე, იცოდე, რომ მაქვს ამაზე პასუხი ✨",არა____არ მინდა____არ მომიყვე____არ მაინტერესებს
"გეოგრაფიულად იმერეთს გააჩნია კარგად გამოკვეთილი ბუნებრივი საზღვრები და ყოველი მხრიდან მკაფიოდ გამოხატულ მთებსა და ხეობებზე გადის:~ აღმოსავლეთით შემოსაზღვრულია ლიხის ქედით, ჩრდილოეთით კავკასიონის ქედით და რაჭის ქედს მიუყვება, დასავლეთით მდინარე ცხენისწყალს, სამხრეთ-დასავლეთით მდინარე სუფსას, ხოლო სამხრეთით მესხეთის მთებით ანუ აჭარა-იმერეთის, იგივე ფერსათის ქედით არის შემოფარგლული.",იმერეთის საზღვრ____ესაზღვრება იმერე
იმერეთი საქართველოს სხვა მხარეებს უკავშირდება მთელი რიგი უღელტეხილებით:~ქართლს – რიკოთის (999 მ.) და სურამის (947 მ.) უღელტეხილებით; რაჭას – ნაქერალას (1235მ.) და შქმერის უღელტეხილებით; მესხეთს – ზეკარის უღელტეხილით (2178 მ.).,უღელტეხილ
"თავდაპირველად აირჩიე კონკრეტული საკითხი და განვაგრძოთ საუბარი, რომელიც ძალიან საინტერესო იქნება 🤗[qr, იმერეთის რეგიონის დარაიონება, იმერეთის სახელწოდება, იმერეთის ბუნებრივი რესურსები, ადგილობრივი მრეწველობა, სხვა]",იმერეთის სახელწოდება
"იმერეთის სახელწოდება დაკავშირებულია ამ მხარის მდებარეობასთან, იმერეთი, ანუ ლიხსიქითა მხარე. ვრცელი მნიშვნელობით იგი მთელი დასავლეთ საქართველოს ისტორიული სახელწოდებაა, ისევე როგორც ძველი კოლხეთი, ეგრისი ან აფხაზეთი. ქართველი ისტორიკოსები დასავლეთ საქართველოში და აღმოსავლეთ საქართველოში მცხოვრები ქართველების აღსანიშნავად ხშირად „იმერნი და ამერნი”-ს ხმარობდნენ. ~ მაგალითის სანახავად 👇 [qr, დააკლიკე]",იმერეთის სახელწოდება
"ახლავე მოგიყვები 🤗 ~ ვახუშტი ბაგრატიონი წერდა: „...ძლიერისა ბრძოლითა მოსწყდნენ მრავალნი იმერნი და ამერნი”. ასე რომ, „იმერეთი” მომდინარეობს სიტყვიდან „იმიერი” (შემოკლებით – იმერ), რაც ქართული საისტორიო წყაროებით გულისხმობს იქითას, გაღმას, გადაღმას, მიღმას.",დააკლიკე
"ძველ ქართულ წყაროებში აღმოსავლეთ საქართველო თუ ამერეთად (ლიხის ქედის ამიერ მხარედ) იწოდებოდა, დასავლეთ საქართველოს (ლიხის ქედის იმიერ მხარეს) იმერეთს უწოდებდნენ, რომელშიც საკუთრივ იმერეთის ეთნოგრაფიული რეგიონის გარდა დასავლეთ საქართველოს სხვა ეთნოგრაფიული რეგიონებიც იგულისხმება. ~ იმერეთის სახელწოდება ზუსტად დაკავშირებულია ამ მხარის მდებარეობასთან ☺ ~ მაგალითის სანახავად 👇 [qr, დააკლიკე]",იმერეთის სახელწოდება
"იმერეთი მღვიმეების მრავალფეროვნებით გამოირჩევა.~სანამ მე მოგიყვები, რომელიმე ცნობილი მღვიმე ხომ არ გახსენდება?~თუ კი, დამისახელე 😇",მღვიმეები
"ეს არის სათაფლიის მღვიმე, რომელიც ბოლო წლებში ტურისტულ ადგილადაც იქცა და მას ბევრი მნახველი ჰყავს.~მღვიმეზე რამდენიმე საინტერესო ფაქტს გეტყვი:[qr, საინტერესო ფაქტი]",სათაფლ
"საინტერესოა, რომ სათაფლიის მღვიმეში ზამთარ-ზაფხულ ერთი ტემპერატურა, 14 გრადუსია👌~აქ ვხვდებით სტალაქტიტების, სტალაგმიტებისა და სტალაგნატების საოცარ დარბაზებს.~გითხრა, რა ჰქვია აქაურ დარბაზებს და რატომ?[qr, კი, არა]",საინტერესო ფაქტ
"ერთ-ერთ დარბაზს ""გამჭვირვალე დარბაზი"" ეწოდება, რადგან მის ჭერზე გამჭვირვალე ნაღვენთებია.~ერთს კი გუმბათოვანს უწოდებენ, რადგან მის ცენტრში უზარმაზარი ნაღვენთებია, ერთ-ერთ მათგანს გულის გორმაც კი აქვს.~გაჩვენო ფოტო?",კი____დიახ____ხო____ჰო____იეს____მითხარი____მინდა____მინდა
"ასე გამოიყურება სათაფლიის ნაკრძალში ""გულის"" დარბაზი~[img, https://www.animachatbotics.com/Images/BotImages/651601310819-07-2021-11-45-11.jpg]",კი____დიახ____ჰო____ხო____მაჩვენე____რატომაც არა
"იმერეთში რამდენიმე ცნობილი მღვიმეა და აირჩიე, რომელზე მოგიყვე:[qr, სათაფლიის, აკაკი წერეთლის, პრომეთეს, საწურბლიას]",მღვიმეები იმერეთში____იმერეთის მღვიმ____მღვიმე იმერეთში____იმერეთში რა მღ____იმერეთში რომელი მღვ
"იმერეთში რამდენიმე ცნობილი მღვიმეა და აირჩიე, რომელზე მოგიყვე:[qr, სათაფლიის, აკაკი წერეთლის, პრომეთეს, საწურბლიას]",საწურბ
ეს ბუნების ძეგლი წყალტუბოში მდებარეობს.~შუა საუკუნეებში ამ მღვიმეს თავშესაფრად იყენებდნენ.,საწურბ
"პრომეთეს მღვიმე მსოფლიოში ერთ-ერთი გამორჩეული ბუნების ძეგლია.~მისი სიგრძე 1,8 კილომეტრია, ასაკი კი დაახლოებით 60-70 მლნ წელი.~მღვიმეს აქვს ორი გასასვლელი: ერთი ბოლოვდება მდინარით, რომელზეც ნავით გასეირნებაა შესაძლებელი, მეორე გასასვლელი კი საფეხმავლოა და მღვიმის დარბაზიდან გარეთ გამოვყავართ.",პრომე
"ის საჩხერის ერთ-ერთი ღირსშესანიშნაობაა.~მღვიმეს სახელი აკაკი წერეთლის დაბადებიდან 175, ხოლო გარდაცვალებიდან 100 წლისთავის გამო ეწოდა.~მასში ბევრი გვირაბია და გაედინება ლამაზი ნაკადული.",აკაკ____წერეთ____წერეტ
"იმერეთში რამდენიმე ცნობილი კანიონი მდებარეობს 🤗 ~ შენ აირჩიე, რომელზე გინდა რომ მოგიყვე 👇 [qr, ოკაცეს კანიონი, ყვირილის კანიონი,მდინარე ჩხარის კანიონი]",ოკაცე
"ოკაცეს კანიონი მდინარე ოკაცეს ხეობაში მდებარეობს, გორდის მიდამოებში. ~ ზოგიერთ ადგილას კანიონის კედლები თითქმის უერთდება ერთმანეთს და ბუნებრ]ივ ქვახიდებს წარმოქმნის. ☺ ერთ-ერთი ასეთი ადგილია „ბოგა“, საიდანაც კანიონის ფსკერის დანახვაც კი შეიძლება, რომლის ფსკერზე ბუნებრივი ხიდები და მღვიმეებია განლაგებული. ~ გაინტერესებს რამდენია ოკაცეს კანიონის სიგრძე?",ოკაცე
"მდინარე ოკაცეს სიგრძე 16 კილომეტრია და სოფელზედა გორდის მიდამოებში მდინარე ქმნის 2 კილომეტრიან ულამაზეს კანიონს 😇 ~ თუ დაგაინტერესებს, შემიძლია ფოტოც გაჩვენო [qr,მაჩვენე]",კი____დიახ____ჰო____მაინტერესებს____მომიყევი____მითხარი____მომწერე____აბა რა
"ეს არის კინჩხის ულამაზესი კანიონი 🤗 ფოტოზე ჩანჩქერსაც დაინახავ. ~[img, https://www.animachatbotics.com/Images/BotImages/802940099120-07-2021-12-56-43.jpg]",მაჩვენე____კი____მაინტერესებს____დიახ
"კარგი, ნება შენია, მაგრამ იცოდე, რომ ამ თემაზე მაქვს ინფორმაცია და საინტერესო რაღაცებიც ვიცი 🤗",არა____ნო____არ მაინტერესებს
"ეს კანიონი მდინარე ჩხარის ხეობაში, თერჯოლის მუნიციპალიტეტში მდებარეობს. ~ თუ ამ კანიონის მონახულებას გადაწყვეტ 👇 კანიონთან ახლოს მისვლა შესაძლებელია ჯერ ალისუბანი-მაჩიტაურის საავტომობილო გზით, შემდეგ საფეხმავლო მარშრუტით, მაჩიტაურის ციხის გავლით ეშვება ბილიკი ხეობაში. ☺",მდინარე ჩხარის კანიონი
ყვირილის კანიონი ჭიათურის მუნიციპალიტეტის სოფელ ითხვისის მიდამოებში მდებარეობს. 🤗 ~ ამ კანიონის ღირსშესანიშნაობებია საჰაერო საბაგირო გზა და კანიონის ხეობის პანორამა.,ყვირილის კანიონი
"_xDE0A__xD83D_🌊იმერეთის ბუნების იერ-სახის შექმნაში მნიშვნელოვანი ადგილი უკავია მდინარეულ ხეობებს, რომელთა ხშირი ქსელით დასერილ-დაღარულია მთელი ტერიტორია.🤓ამასთან, ტერიტორიის უმეტესი ნაწილი უკავია მდინარეების რიონისა და ყვირილის მარცხენა მხარის შენაკადებს.განვაგრძოთ?😊[qr, კი, არა, მდინარეული ხეობები]",კი____დიახ____ხო____ჰო____რასაკვ____რა საკვ____რათქმ____რა თქმა____თავისთ
"ძალიან კარგი😊~იცოდი? იმერეთის მდინარეებში თევზის, დაახლოებით 20-მდე სახეობა ბინადრობს,🐟🐡😯 მრავლად არის: ლოქო,კობრი, ფარგა, შამაია, ღორჯო, წვერა, კავკასიური ქაშაყი, მრავლადაა კალმახი, წვერა, ჭანარი, მურწა,ქაშაპი, ტობი, შამაია და სხვ.🐠~ასევე , გეტყვი რომ ხეობაში, ხმელეთსა და წყალქვეშ მრავალი მინერალური წყარო მდინარეებს საოცარ სამკურნალო თვისებებს სძენს.[qr, თევზაობა, შიდა წყლები, ცხოველები და ფრინველები]",კი____დიახ____ხო____ჰო____რასაკვ____რა საკვ____რათქმ____რა თქმა____თავისთ
მოგეხსენება თევზაობისათვის საუკეთესო სეზონია გაზაფხული და შემოდგომა.🐡🐠🐬,თევზაობ
"მდინარის ნაპირებზე წავი და ნუტრია ბინადრობს, ხოლო ძუძუმწოვრებიდან ტურა, მელა და მაჩვი გვხვდება.🐆😙",ცხოველებ____ფრინველ
"იმერეთის მხარე მდიდარია შიდა წყლებით. აქ აღრიცხულია 6000-მდე დიდი თუ მცირე მდინარე(ბორიმელა, ბჟოლისხევი, ბუჯა, გუბისწყალი, დუმალა, ზვარულა, კაცხურა, კვინისწყალი,კორისწყალი, ლაიშურა, ლეხიდარი, ლუხუტა, ოკაცე,~ოღასკურა, რიკოთულა, რიონი, რუა, საკრაულა,საძალიხევი, სემი, სულორი, ტყიბულა, ფერეთა, ქერშავეთი, ყვირილა, ყუმური, ჩიხურა, ჩოლაბური,ჩხარა, ჩხერიმელა, ცხენისწყალი, ძევრულა, ძირულა, ძულუხურა, ძუსა, წაბლარასწყალი,წყალტუბოსწყალი, წყალწითელა, ჭიშურა (სულორის შენაკადი), ჭიშურა (ყვირილის შენაკადი),ხანისწყალი, ხევისწყალი, ხელმოსმულა, ხმორდოლა, ჯრუჭულა და სხვა), რომელთაგან უდიდესია რიონი.",შიდა წყლებ
"რიონი იმერეთის უმთავრესი მდინარეა - საქართველოს ყველაზე წყალუხვი მდინარე, რომელიც გაედინება იმერეთის ტერიტორიის დასავლურ ნაწილში.🌊რაჭიდან ჩამომდინარე რიონი იმერეთში ოკრიბის დაბალი მთების ფარგლებში გაედინება, ხოლო შემდგომ ქ. ქუთაისის ქვემოთ იგი გამოდის ვაკე-დაბლობზე და კოლხეთის დაბლობის გავლით შავ ზღვას უერთდება😙[qr, განაგრძე, გასაგებია]",რიონი
"შემდეგ რიონი ქ. ქუთაისის ქვემოთ გამოდის ვაკე-დაბლობზე და კოლხეთის დაბლობის გავლით შავ ზღვას უერთდება🤓~მოდი ამასაც გეტყვი, რომ მისი სიგრძე არის 327 კმ.. იმერეთის ფარგლებში მოქცეული მდ. რიონის ხეობის მონაკვეთის (ტვიშის კლდეკარსა და სოფ. ტოლებს შორის) სიგრძე შეადგენს 95 კმ-ს.😇[qr, სხვა მდინარეების შესახებ]",განაგრძ____განვაგრძ____შემდეგ____მერე____კიდე
მიხარია🤗სხვა რა გაინტერესებს ?,გასაგებია____გავიგე____კაი____მადლობა____კარგი
"ყველაზე დიდი მდინარე, რომელიც იმერეთში იწყება და მთავრდება, არის ყვირილა (სიგრძე 153 კმ).🤓იგი სათავეს იღებს წონას ტბიდან და რიონს მარცხნიდან შეერთვის სოფელ ვარციხესთან ქ.ზესტაფონს ქვემოთ.~აქვე უნდა გითხრა, რომ მდინარე ყვირილის შენაკადებიდან ყველაზე მნიშვნელოვანია მდინარე ძირულა (სიგრძე-83 კმ), რომელიც მას შორაპანთან უერთდება.[qr, ძირულა]",ძირულა
"რაც შეეხება მდ. ძირულას, მას მთელი რიგი შენაკადები გააჩნია - მდინარეები: ჩხერიმელა (სიგრძე-39 კმ), დუმალა, ხელმოსმულა, და სხვა🤓.~გარდა ამისა, ყვირილის შენაკადებია მდ. მდ. ჩიხურა, საძალიხევი, ჯრუჭულა და სხვა.",ძირულა
"მდინარე ჩხერიმელა, ერთ-ერთი დიდი მდინარეა ზემო იმერეთში, რომელიც სათავეს ლიხის ქედიდან იღებს და ხარაგაულისმთელ ტერიტორიაზე მოედინება.~ის ხარაგაულის მუნიციპალიტეტის მთავარი მდინარეა და არის 39 კმ. გაინტერესებს ვახუშტი ბატონიშვილის თქმით, მდინარეს ჩხერიმელა რატომ დაერქვა?[qr, კი, არა]",არა
მიხარია🤗სხვა რა გაინტერესებს?,არა
"ვახუშტი ბატონიშვილის თქმით, სახელი ჩხერის ციხის გამო დარქმევია. „ამ ციხიდან ისახელა მდინარე ესე ჩხერიმელა“. ჩხერიმელა ეწოდა „წყლის ჩხერისაგან კლდესა დინებითა“.🤓[qr, შემდეგ, გასაგებია]",გასაგებია____გავიგე____კაი____მადლობა____კარგი
"მიხარია რომ გსურს მეტის გაგება🤗😇~ჩხერიმელას 17-მდე შენაკადი აქვს. მათ შორისაა მდინარეები: ბლიხევა, მოლითულა, სახვლურა, სამზღვრიღელე, ყარნება, ზვარულა, ვახანის წყალი,არჯოლა, ლეღვნულა, რუთიღელე, ჯონჯოურა, ჯიხველა, რახიელას ღელე, ოკიშურა, ტყემლარა,გორულა და ლაფრახა-ლაფხარა.",შემდეგ____მერე____კიდე____განვაგრ____განაგრძ____მოყოლ
"თავდაპირველად, გეტყვი რომ მთელი იმერეთი მოქცეულია მდ. რიონის აუზში.😇 ამ ტერიოტიაზე რამდენიმე მნიშვნელოვანი მდინარეა , ესენია: რიონი, ყვირილა, ჩხერიმელა[qr, რიონი, ყვირილა, ჩხერიმელა, მიწისქვეშა კარსტული მდინარეები, სხვა თემები]",მიწისქვეშა კარსტულ
